"Year","Area (use fill down)","Street (use find and replace to replace the odd character with a space)","Street 2 (in Refine use titlecase and cluster and edit)","Strange HTML (use unescape HTML)"
2011,"Birmingham","Arcadian Birmingham City Centre","Arcadian Birmingham City Centre","NA"
2011,"Birmingham","Arcadian center, Birmingham","Arcadian center, Birmingham","NA"
2011,"Birmingham","Arcadian Centre","Arcadian Centre","NA"
2011,"Birmingham","Arcadian centre","Arcadian centre","NA"
2011,"Birmingham","Arcadian centre","Arcadian centre","NA"
2011,"Birmingham","Arcadian Centre","Arcadian Centre","NA"
2011,"Birmingham","Arcadian Centre","Arcadian Centre","NA"
2011,"Birmingham","Arcadian centre","Arcadian centre","NA"
2011,"Birmingham","Arcadian Centre","Arcadian Centre","NA"
2011,"Birmingham","Arcadian Centre","Arcadian Centre","NA"
2011,"Birmingham","Arcadian centre","Arcadian centre","NA"
2011,"Birmingham","Arcadian centre","Arcadian centre","NA"
2011,"Birmingham","Arcadian Centre","Arcadian Centre","NA"
2011,"Birmingham","Arcadian Centre","Arcadian Centre","NA"
2011,"Birmingham","Arcadian centre","Arcadian centre","NA"
2011,"Birmingham","Arcadian Centre","Arcadian Centre","NA"
2011,"Birmingham","Arcadian centre bham","Arcadian centre bham","NA"
2011,"Birmingham","Arcadian Centre, Birmingham","Arcadian Centre, Birmingham","NA"
2011,"Birmingham","Arcadian Centre, Birmingham City Centre","Arcadian Centre, Birmingham City Centre","NA"
2011,"Birmingham","Arcadian Centre, Ladywell Walk","Arcadian Centre, Ladywell Walk","NA"
2011,"Birmingham","Arcadian Centre, Ladywell Walk","Arcadian Centre, Ladywell Walk","NA"
2011,"Birmingham","Arcadian Entertainment Centre, Birmingham","Arcadian Entertainment Centre, Birmingham","NA"
2011,"Birmingham","Arcadian, City Centre.","Arcadian, City Centre.","NA"
2011,"Birmingham","Arcadian, Hurst Street","Arcadian, Hurst Street","NA"
2011,"Birmingham","Aston hotel`","Aston hotel`","NA"
2011,"Birmingham","Aston Police Station","Aston Police Station","NA"
2011,"Birmingham","Aston villa football ground","Aston villa football ground","NA"
2011,"Birmingham","Attenborough close","Attenborough close","NA"
2011,"Birmingham","Away fans coach park,  bham cfc","Away fans coach park,  bham cfc","NA"
2011,"Birmingham","Away supporters entrance bcfc","Away supporters entrance bcfc","NA"
2011,"Birmingham","Bar Risa","Bar Risa","NA"
2011,"Birmingham","Bath Row, Birmingham","Bath Row, Birmingham","NA"
2011,"Birmingham","Bath Street,City centre","Bath Street,City centre","NA"
2011,"Birmingham","BCFC  home fans car aprke","BCFC  home fans car aprke","NA"
2011,"Birmingham","BCFC ground","BCFC ground","NA"
2011,"Birmingham","BCFC Tilton Road entrance","BCFC Tilton Road entrance","NA"
2011,"Birmingham","Berkeley street","Berkeley street","NA"
2011,"Birmingham","Berkeley Street","Berkeley Street","NA"
2011,"Birmingham","Berkley street","Berkley street","NA"
2011,"Birmingham","B'ham New Street Station","B'ham New Street Station","NA"
2011,"Birmingham","Big Bite, Broad Street","Big Bite, Broad Street","NA"
2011,"Birmingham","BIGWOK Restaurant, Birmingham","BIGWOK Restaurant, Birmingham","NA"
2011,"Birmingham","Birchfield road,  perry barr","Birchfield road,  perry barr","NA"
2011,"Birmingham","Birchfield Road, Birmingham","Birchfield Road, Birmingham","NA"
2011,"Birmingham","Birchfield Road, City Centre","Birchfield Road, City Centre","NA"
2011,"Birmingham","Birchfiled Road","Birchfiled Road","NA"
2011,"Birmingham","Birmingham City FC Û Coach Park","Birmingham City FC Û Coach Park","NA"
2011,"Birmingham","Birmingham Magistrates Court.","Birmingham Magistrates Court.","NA"
2011,"Birmingham","Birmingham New St","Birmingham New St","NA"
2011,"Birmingham","Birmingham New Street Station","Birmingham New Street Station","NA"
2011,"Birmingham","Birmingham New Street,","Birmingham New Street,","NA"
2011,"Birmingham","Bishopgate street @ junction of Broad street.","Bishopgate street @ junction of Broad street.","NA"
2011,"Birmingham","Bishopgate Street, City Centre","Bishopgate Street, City Centre","NA"
2011,"Birmingham","Bishopsgate street","Bishopsgate street","NA"
2011,"Birmingham","Bliss Bar, Broad Street","Bliss Bar, Broad Street","NA"
2011,"Birmingham","Bliss Nightclub, Broad St, Birmingham","Bliss Nightclub, Broad St, Birmingham","NA"
2011,"Birmingham","Bliss nightclub, Broad St.","Bliss nightclub, Broad St.","NA"
2011,"Birmingham","Bliss, Broad St.","Bliss, Broad St.","NA"
2011,"Birmingham","Bordesley Green","Bordesley Green","NA"
2011,"Birmingham","Bordesley Green rd","Bordesley Green rd","NA"
2011,"Birmingham","Bradford St, Birmingham","Bradford St, Birmingham","NA"
2011,"Birmingham","Braod Street, City Centre","Braod Street, City Centre","NA"
2011,"Birmingham","Braod Street, City Centre","Braod Street, City Centre","NA"
2011,"Birmingham","Braod Street, City Centre","Braod Street, City Centre","NA"
2011,"Birmingham","Braod Street, City Centre","Braod Street, City Centre","NA"
2011,"Birmingham","Braod Street, City Centre","Braod Street, City Centre","NA"
2011,"Birmingham","Braod Street, City Centre","Braod Street, City Centre","NA"
2011,"Birmingham","Briar Rose PH Bennetts Hill","Briar Rose PH Bennetts Hill","NA"
2011,"Birmingham","Brighton arms PH","Brighton arms PH","NA"
2011,"Birmingham","Bristol Road, Birmingham","Bristol Road, Birmingham","NA"
2011,"Birmingham","Bristol Road, Edgbaston","Bristol Road, Edgbaston","NA"
2011,"Birmingham","Bristol St, Birmingham City Centre","Bristol St, Birmingham City Centre","NA"
2011,"Birmingham","Bristol Street","Bristol Street","NA"
2011,"Birmingham","Bristol Street","Bristol Street","NA"
2011,"Birmingham","Bristol Street South","Bristol Street South","NA"
2011,"Birmingham","Bristol Street South","Bristol Street South","NA"
2011,"Birmingham","Brittania hotel","Brittania hotel","NA"
2011,"Birmingham","Broad St","Broad St","NA"
2011,"Birmingham","Broad St","Broad St","NA"
2011,"Birmingham","Broad st","Broad st","NA"
2011,"Birmingham","Broad St","Broad St","NA"
2011,"Birmingham","Broad st","Broad st","NA"
2011,"Birmingham","Broad st","Broad st","NA"
2011,"Birmingham","Broad st","Broad st","NA"
2011,"Birmingham","Broad St","Broad St","NA"
2011,"Birmingham","Broad St","Broad St","NA"
2011,"Birmingham","Broad St","Broad St","NA"
2011,"Birmingham","Broad St @ Gas Street, City Centre","Broad St @ Gas Street, City Centre","NA"
2011,"Birmingham","Broad st bham","Broad st bham","NA"
2011,"Birmingham","Broad st bham","Broad st bham","NA"
2011,"Birmingham","Broad St City Centre","Broad St City Centre","NA"
2011,"Birmingham","Broad St city Centre Birmingham","Broad St city Centre Birmingham","NA"
2011,"Birmingham","Broad st,    bham","Broad st,    bham","NA"
2011,"Birmingham","Broad st,  bham","Broad st,  bham","NA"
2011,"Birmingham","Broad st,  bham","Broad st,  bham","NA"
2011,"Birmingham","Broad st,  bham","Broad st,  bham","NA"
2011,"Birmingham","Broad st,  bham","Broad st,  bham","NA"
2011,"Birmingham","Broad st,  bham","Broad st,  bham","NA"
2011,"Birmingham","Broad st, bham","Broad st, bham","NA"
2011,"Birmingham","Broad st, bham","Broad st, bham","NA"
2011,"Birmingham","Broad St, Birmingham","Broad St, Birmingham","NA"
2011,"Birmingham","Broad St, Birmingham","Broad St, Birmingham","NA"
2011,"Birmingham","Broad St, Birmingham","Broad St, Birmingham","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad street","Broad street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad street","Broad street","NA"
2011,"Birmingham","Broad street","Broad street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad street","Broad street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad street","Broad street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad street","Broad street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad street","Broad street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad street","Broad street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad street","Broad street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad street","Broad street","NA"
2011,"Birmingham","Broad street","Broad street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad street","Broad street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad street","Broad street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad street","Broad street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad street","Broad street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad street","Broad street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad Street","Broad Street","NA"
2011,"Birmingham","Broad street","Broad street","NA"
2011,"Birmingham","Broad Street , City Centre","Broad Street , City Centre","NA"
2011,"Birmingham","Broad street birmingham","Broad street birmingham","NA"
2011,"Birmingham","Broad street birmingham","Broad street birmingham","NA"
2011,"Birmingham","Broad Street Birmingham","Broad Street Birmingham","NA"
2011,"Birmingham","Broad Street opposite Walkabout","Broad Street opposite Walkabout","NA"
2011,"Birmingham","Broad Street outside Roccocco","Broad Street outside Roccocco","NA"
2011,"Birmingham","Broad Street, B'ham","Broad Street, B'ham","NA"
2011,"Birmingham","Broad Street, B'ham","Broad Street, B'ham","NA"
2011,"Birmingham","Broad Street, Birmingham","Broad Street, Birmingham","NA"
2011,"Birmingham","Broad Street, Birmingham","Broad Street, Birmingham","NA"
2011,"Birmingham","Broad Street, Birmingham","Broad Street, Birmingham","NA"
2011,"Birmingham","Broad street, Birmingham","Broad street, Birmingham","NA"
2011,"Birmingham","Broad Street, Birmingham","Broad Street, Birmingham","NA"
2011,"Birmingham","Broad Street, Birmingham","Broad Street, Birmingham","NA"
2011,"Birmingham","Broad Street, Birmingham","Broad Street, Birmingham","NA"
2011,"Birmingham","Broad Street, Birmingham","Broad Street, Birmingham","NA"
2011,"Birmingham","Broad Street, Birmingham","Broad Street, Birmingham","NA"
2011,"Birmingham","Broad Street, Birmingham","Broad Street, Birmingham","NA"
2011,"Birmingham","Broad Street, Birmingham","Broad Street, Birmingham","NA"
2011,"Birmingham","Broad Street, Birmingham","Broad Street, Birmingham","NA"
2011,"Birmingham","Broad Street, Birmingham","Broad Street, Birmingham","NA"
2011,"Birmingham","Broad Street, Birmingham","Broad Street, Birmingham","NA"
2011,"Birmingham","Broad Street, Birmingham","Broad Street, Birmingham","NA"
2011,"Birmingham","Broad Street, Birmingham","Broad Street, Birmingham","NA"
2011,"Birmingham","Broad Street, Birmingham","Broad Street, Birmingham","NA"
2011,"Birmingham","Broad Street, Birmingham","Broad Street, Birmingham","NA"
2011,"Birmingham","Broad Street, Birmingham","Broad Street, Birmingham","NA"
2011,"Birmingham","Broad Street, Birmingham","Broad Street, Birmingham","NA"
2011,"Birmingham","Broad Street, Birmingham","Broad Street, Birmingham","NA"
2011,"Birmingham","BROAD STREET, Birmingham","BROAD STREET, Birmingham","NA"
2011,"Birmingham","Broad Street, Birmingham","Broad Street, Birmingham","NA"
2011,"Birmingham","Broad Street, Birmingham","Broad Street, Birmingham","NA"
2011,"Birmingham","Broad Street, Birmingham","Broad Street, Birmingham","NA"
2011,"Birmingham","Broad Street, Birmingham","Broad Street, Birmingham","NA"
2011,"Birmingham","Broad street, Birmingham","Broad street, Birmingham","NA"
2011,"Birmingham","Broad Street, Birmingham.","Broad Street, Birmingham.","NA"
2011,"Birmingham","Broad Street, City Centre","Broad Street, City Centre","NA"
2011,"Birmingham","Broad Street, City Centre","Broad Street, City Centre","NA"
2011,"Birmingham","Broad Street, City Centre","Broad Street, City Centre","NA"
2011,"Birmingham","Broad Street, City Centre","Broad Street, City Centre","NA"
2011,"Birmingham","Broad Street, City Centre","Broad Street, City Centre","NA"
2011,"Birmingham","Broad Street, City Centre","Broad Street, City Centre","NA"
2011,"Birmingham","Broad Street, City Centre","Broad Street, City Centre","NA"
2011,"Birmingham","Broad Street, City Centre","Broad Street, City Centre","NA"
2011,"Birmingham","Broad Street, City Centre","Broad Street, City Centre","NA"
2011,"Birmingham","Broad Street, city centre","Broad Street, city centre","NA"
2011,"Birmingham","Broad Street, City Centre,","Broad Street, City Centre,","NA"
2011,"Birmingham","Broad Street, City Centre, Birmingham","Broad Street, City Centre, Birmingham","NA"
2011,"Birmingham","Broad Street, City Centre, Birmingham","Broad Street, City Centre, Birmingham","NA"
2011,"Birmingham","Broad Street, City Centre, Birmingham","Broad Street, City Centre, Birmingham","NA"
2011,"Birmingham","Broad Street, City Centre, Birmingham","Broad Street, City Centre, Birmingham","NA"
2011,"Birmingham","Broad Street, City Centre.","Broad Street, City Centre.","NA"
2011,"Birmingham","Broad Street, City Centre.","Broad Street, City Centre.","NA"
2011,"Birmingham","Broad Street,City centre","Broad Street,City centre","NA"
2011,"Birmingham","Broad Street,City centre","Broad Street,City centre","NA"
2011,"Birmingham","Broad Street,City centre","Broad Street,City centre","NA"
2011,"Birmingham","Broad Street.","Broad Street.","NA"
2011,"Birmingham","Broad Street. Birmingham","Broad Street. Birmingham","NA"
2011,"Birmingham","Broad strret","Broad strret","NA"
2011,"Birmingham","Broadway Plaza, Ladywood Middleway","Broadway Plaza, Ladywood Middleway","NA"
2011,"Birmingham","Bromsgrove street, Birmingham","Bromsgrove street, Birmingham","NA"
2011,"Birmingham","Brookvale Rd Witton","Brookvale Rd Witton","NA"
2011,"Birmingham","Bull ring","Bull ring","NA"
2011,"Birmingham","Bull Ring","Bull Ring","NA"
2011,"Birmingham","Bullring, City Centre.","Bullring, City Centre.","NA"
2011,"Birmingham","Burford Road, Kingstanding","Burford Road, Kingstanding","NA"
2011,"Birmingham","Calshott Road, Great Barr","Calshott Road, Great Barr","NA"
2011,"Birmingham","Camborne Close.","Camborne Close.","NA"
2011,"Birmingham","Canal side, soho loop, handsworth","Canal side, soho loop, handsworth","NA"
2011,"Birmingham","Car park, AVFC","Car park, AVFC","NA"
2011,"Birmingham","Carrs lane","Carrs lane","NA"
2011,"Birmingham","Chiswell Road","Chiswell Road","NA"
2011,"Birmingham","Church Vale road","Church Vale road","NA"
2011,"Birmingham","City Hospita,Dudley Road","City Hospita,Dudley Road","NA"
2011,"Birmingham","City Hospital","City Hospital","NA"
2011,"Birmingham","City hospital","City hospital","NA"
2011,"Birmingham","City Hospital","City Hospital","NA"
2011,"Birmingham","City Hospital","City Hospital","NA"
2011,"Birmingham","City Hospital","City Hospital","NA"
2011,"Birmingham","City Hospital","City Hospital","NA"
2011,"Birmingham","City Hospital","City Hospital","NA"
2011,"Birmingham","City Hospital Dudley Road","City Hospital Dudley Road","NA"
2011,"Birmingham","City Hospital, Birmingham","City Hospital, Birmingham","NA"
2011,"Birmingham","City Hospital, Birmingham","City Hospital, Birmingham","NA"
2011,"Birmingham","City road, birmingham","City road, birmingham","NA"
2011,"Birmingham","City Tavern","City Tavern","NA"
2011,"Birmingham","City Tavern Bishopsgate STm","City Tavern Bishopsgate STm","NA"
2011,"Birmingham","Claythorn avenue","Claythorn avenue","NA"
2011,"Birmingham","College Road","College Road","NA"
2011,"Birmingham","Colmore Row","Colmore Row","NA"
2011,"Birmingham","Colmore Row","Colmore Row","NA"
2011,"Birmingham","Colmore Row, Birmingham","Colmore Row, Birmingham","NA"
2011,"Birmingham","Colmore Row, Birmingham.","Colmore Row, Birmingham.","NA"
2011,"Birmingham","Constitution Hill, Birmingham","Constitution Hill, Birmingham","NA"
2011,"Birmingham","Corparation Street, Birmingham","Corparation Street, Birmingham","NA"
2011,"Birmingham","Corporation St","Corporation St","NA"
2011,"Birmingham","Corporation Street","Corporation Street","NA"
2011,"Birmingham","Corporation Street","Corporation Street","NA"
2011,"Birmingham","Corporation street","Corporation street","NA"
2011,"Birmingham","Corporation Street","Corporation Street","NA"
2011,"Birmingham","Corporation Street, Birmingham","Corporation Street, Birmingham","NA"
2011,"Birmingham","Corporation Street, Birmingham","Corporation Street, Birmingham","NA"
2011,"Birmingham","Corporation Street, Birmingham","Corporation Street, Birmingham","NA"
2011,"Birmingham","Corporation Street, City Centre","Corporation Street, City Centre","NA"
2011,"Birmingham","Corporation Street, City Centre","Corporation Street, City Centre","NA"
2011,"Birmingham","Corporation Street, City Centre","Corporation Street, City Centre","NA"
2011,"Birmingham","Corporation Street, City centre,","Corporation Street, City centre,","NA"
2011,"Birmingham","Corporation street.","Corporation street.","NA"
2011,"Birmingham","Coventry entrance BCFC","Coventry entrance BCFC","NA"
2011,"Birmingham","Coventry road","Coventry road","NA"
2011,"Birmingham","Coventry Road, Birmingham City FC","Coventry Road, Birmingham City FC","NA"
2011,"Birmingham","Dale End","Dale End","NA"
2011,"Birmingham","Dale end","Dale end","NA"
2011,"Birmingham","Dale End","Dale End","NA"
2011,"Birmingham","Dale End","Dale End","NA"
2011,"Birmingham","Dale end birmingham","Dale end birmingham","NA"
2011,"Birmingham","Dale end city centre","Dale end city centre","NA"
2011,"Birmingham","Dale End, Birmingham","Dale End, Birmingham","NA"
2011,"Birmingham","Dale End, Birmingham","Dale End, Birmingham","NA"
2011,"Birmingham","Dale End, Birmingham","Dale End, Birmingham","NA"
2011,"Birmingham","Ddora road,  Handsworth","Ddora road,  Handsworth","NA"
2011,"Birmingham","Digbeth","Digbeth","NA"
2011,"Birmingham","Digbeth Coad Station","Digbeth Coad Station","NA"
2011,"Birmingham","Digbeth High Street","Digbeth High Street","NA"
2011,"Birmingham","Digbeth High Street","Digbeth High Street","NA"
2011,"Birmingham","Digbeth High stReet, city centre","Digbeth High stReet, city centre","NA"
2011,"Birmingham","Dudley road","Dudley road","NA"
2011,"Birmingham","Edgbaston St.","Edgbaston St.","NA"
2011,"Birmingham","Edgbaston street","Edgbaston street","NA"
2011,"Birmingham","Edmund Street","Edmund Street","NA"
2011,"Birmingham","Ernest street City Centre Birmingham","Ernest street City Centre Birmingham","NA"
2011,"Birmingham","Essex st","Essex st","NA"
2011,"Birmingham","Essex street (aston)","Essex street (aston)","NA"
2011,"Birmingham","Essex Street, Birmingham","Essex Street, Birmingham","NA"
2011,"Birmingham","Essex Street, City Centre","Essex Street, City Centre","NA"
2011,"Birmingham","Etap Hotel Foyer, Birmingham","Etap Hotel Foyer, Birmingham","NA"
2011,"Birmingham","Eva Road","Eva Road","NA"
2011,"Birmingham","Faisley Street City Centre","Faisley Street City Centre","NA"
2011,"Birmingham","Five Ways, Birmingham","Five Ways, Birmingham","NA"
2011,"Birmingham","Flood gate street birmingham","Flood gate street birmingham","NA"
2011,"Birmingham","Formula one hotel","Formula one hotel","NA"
2011,"Birmingham","Fox Hollies Road","Fox Hollies Road","NA"
2011,"Birmingham","Gas Street","Gas Street","NA"
2011,"Birmingham","Gas street","Gas street","NA"
2011,"Birmingham","Gas street","Gas street","NA"
2011,"Birmingham","Gas Street","Gas Street","NA"
2011,"Birmingham","Gas street","Gas street","NA"
2011,"Birmingham","Gas Street,City centre","Gas Street,City centre","NA"
2011,"Birmingham","Gatecrasher,Broad Street","Gatecrasher,Broad Street","NA"
2011,"Birmingham","Gatescrasher, Bishopsgate, Birmingham","Gatescrasher, Bishopsgate, Birmingham","NA"
2011,"Birmingham","Golden hind ph","Golden hind ph","NA"
2011,"Birmingham","Golden Hind Pub Kingstanding Road","Golden Hind Pub Kingstanding Road","NA"
2011,"Birmingham","Gooch St North","Gooch St North","NA"
2011,"Birmingham","Grange Road","Grange Road","NA"
2011,"Birmingham","Grangers Lane Cradley Heath","Grangers Lane Cradley Heath","NA"
2011,"Birmingham","Great Charles Street, City Centre","Great Charles Street, City Centre","NA"
2011,"Birmingham","Grosvenor Casino, Birmingham","Grosvenor Casino, Birmingham","NA"
2011,"Birmingham","Grotersley Street","Grotersley Street","NA"
2011,"Birmingham","HAGLEY ROAD","HAGLEY ROAD","NA"
2011,"Birmingham","Hall Rd","Hall Rd","NA"
2011,"Birmingham","Hall Street","Hall Street","NA"
2011,"Birmingham","Hamstead Road, Handsworth","Hamstead Road, Handsworth","NA"
2011,"Birmingham","Handsworth Park","Handsworth Park","NA"
2011,"Birmingham","Handsworth Police Station","Handsworth Police Station","NA"
2011,"Birmingham","Hawthorn Road, Kingstanding, Birmingham","Hawthorn Road, Kingstanding, Birmingham","NA"
2011,"Birmingham","Heath Mill Lane","Heath Mill Lane","NA"
2011,"Birmingham","High St Harborne Birmingham","High St Harborne Birmingham","NA"
2011,"Birmingham","High st,  ~digbeth","High st,  ~digbeth","NA"
2011,"Birmingham","High st,  digbeth","High st,  digbeth","NA"
2011,"Birmingham","High st, digbeth","High st, digbeth","NA"
2011,"Birmingham","High Street, City Centre.","High Street, City Centre.","NA"
2011,"Birmingham","High Street,City Centre","High Street,City Centre","NA"
2011,"Birmingham","Hilden road","Hilden road","NA"
2011,"Birmingham","Hill St, Birmingham","Hill St, Birmingham","NA"
2011,"Birmingham","Hill Street","Hill Street","NA"
2011,"Birmingham","Hill Street, Birmingham","Hill Street, Birmingham","NA"
2011,"Birmingham","Hill Street, City Centre","Hill Street, City Centre","NA"
2011,"Birmingham","Hill Street, City Centre","Hill Street, City Centre","NA"
2011,"Birmingham","Hill Street, City Centre","Hill Street, City Centre","NA"
2011,"Birmingham","Hill Street, City Centre.","Hill Street, City Centre.","NA"
2011,"Birmingham","Hockley Circus","Hockley Circus","NA"
2011,"Birmingham","Holiday Inn, Lionel St.","Holiday Inn, Lionel St.","NA"
2011,"Birmingham","Holiday Inn, Smallbrook Queensway,","Holiday Inn, Smallbrook Queensway,","NA"
2011,"Birmingham","Holiday Street","Holiday Street","NA"
2011,"Birmingham","Holly Road","Holly Road","NA"
2011,"Birmingham","Holte Street, Gosta Green","Holte Street, Gosta Green","NA"
2011,"Birmingham","Home address","Home address","NA"
2011,"Birmingham","Horsefair","Horsefair","NA"
2011,"Birmingham","Horsefair Bristol St","Horsefair Bristol St","NA"
2011,"Birmingham","Humer Tower,Francis Street","Humer Tower,Francis Street","NA"
2011,"Birmingham","Hurst","Hurst","NA"
2011,"Birmingham","Hurst St","Hurst St","NA"
2011,"Birmingham","Hurst St City centre Birmingham","Hurst St City centre Birmingham","NA"
2011,"Birmingham","Hurst st,  bham","Hurst st,  bham","NA"
2011,"Birmingham","Hurst St, Birminhgam","Hurst St, Birminhgam","NA"
2011,"Birmingham","Hurst Street","Hurst Street","NA"
2011,"Birmingham","Hurst street","Hurst street","NA"
2011,"Birmingham","Hurst Street","Hurst Street","NA"
2011,"Birmingham","Hurst Street","Hurst Street","NA"
2011,"Birmingham","Hurst Street","Hurst Street","NA"
2011,"Birmingham","Hurst Street","Hurst Street","NA"
2011,"Birmingham","Hurst Street","Hurst Street","NA"
2011,"Birmingham","Hurst street","Hurst street","NA"
2011,"Birmingham","Hurst Street","Hurst Street","NA"
2011,"Birmingham","Hurst Street","Hurst Street","NA"
2011,"Birmingham","Hurst street","Hurst street","NA"
2011,"Birmingham","Hurst Street","Hurst Street","NA"
2011,"Birmingham","Hurst Street","Hurst Street","NA"
2011,"Birmingham","Hurst Street","Hurst Street","NA"
2011,"Birmingham","Hurst Street","Hurst Street","NA"
2011,"Birmingham","Hurst street","Hurst street","NA"
2011,"Birmingham","Hurst Street","Hurst Street","NA"
2011,"Birmingham","Hurst Street","Hurst Street","NA"
2011,"Birmingham","Hurst Street","Hurst Street","NA"
2011,"Birmingham","Hurst Street","Hurst Street","NA"
2011,"Birmingham","Hurst Street","Hurst Street","NA"
2011,"Birmingham","Hurst Street","Hurst Street","NA"
2011,"Birmingham","Hurst Street","Hurst Street","NA"
2011,"Birmingham","Hurst Street, Birmingham","Hurst Street, Birmingham","NA"
2011,"Birmingham","Hurst Street, Birmingham","Hurst Street, Birmingham","NA"
2011,"Birmingham","Hurst Street, Birmingham","Hurst Street, Birmingham","NA"
2011,"Birmingham","Hurst Street, Birmingham","Hurst Street, Birmingham","NA"
2011,"Birmingham","Hurst Street, Birmingham","Hurst Street, Birmingham","NA"
2011,"Birmingham","Hurst Street, City Center","Hurst Street, City Center","NA"
2011,"Birmingham","Hurst Street, City Centre,","Hurst Street, City Centre,","NA"
2011,"Birmingham","Hurst Street,City centre","Hurst Street,City centre","NA"
2011,"Birmingham","Hurst Street,City centre","Hurst Street,City centre","NA"
2011,"Birmingham","IBIS Hotel","IBIS Hotel","NA"
2011,"Birmingham","ICC","ICC","NA"
2011,"Birmingham","ICC ,broad Street","ICC ,broad Street","NA"
2011,"Birmingham","In arcadian centre bham","In arcadian centre bham","NA"
2011,"Birmingham","Inge Street","Inge Street","NA"
2011,"Birmingham","Inge Street @ Hurst Street","Inge Street @ Hurst Street","NA"
2011,"Birmingham","Islington Row, city centre","Islington Row, city centre","NA"
2011,"Birmingham","Islington Row, Middleway","Islington Row, Middleway","NA"
2011,"Birmingham","James Watt Queensway, Birmingham","James Watt Queensway, Birmingham","NA"
2011,"Birmingham","Kent Street","Kent Street","NA"
2011,"Birmingham","Kingstanding Road","Kingstanding Road","NA"
2011,"Birmingham","Kingstanding Road","Kingstanding Road","NA"
2011,"Birmingham","Lady well walk, City Centre.","Lady well walk, City Centre.","NA"
2011,"Birmingham","Ladywell Walk","Ladywell Walk","NA"
